Domain,Local Goverment area,Total #,Combined GAM percent,Combined MAM percent,Combined SAM percent,Estimated # of GAM cases,Estimated # of Girls GAM cases,Estimated # of Boys GAM cases,Estimated # of MAM cases,Estimated # of SAM cases,Total #.1,AMN percent,Estimated # of GAM cases.1,Region
Benue South,Ado,64616.0,0.095,0.087,0.008,21190.0,10807.0,10383.0,19226.0,1964.0,25846.0,0.065,1680.0,North-Central
Benue South,Agatu,41729.0,0.095,0.087,0.008,13685.0,6979.0,6706.0,12416.0,1269.0,16692.0,0.065,1085.0,North-Central
Benue South,Apa,34954.0,0.095,0.087,0.008,11463.0,5846.0,5617.0,10400.0,1063.0,13981.0,0.065,909.0,North-Central
Benue Northwest,Buruku,73589.0,0.039,0.039,0.0,9815.0,5006.0,4809.0,9815.0,0.0,29435.0,0.054,1590.0,North-Central
Benue Northwest,Gboko,129656.0,0.039,0.039,0.0,17293.0,8820.0,8474.0,17293.0,0.0,51862.0,0.054,2801.0,North-Central
Benue Northeast,Guma,69210.0,0.058,0.051,0.007,13913.0,7095.0,6818.0,12072.0,1841.0,27684.0,0.086,2381.0,North-Central
Benue South,Gwer East,59113.0,0.095,0.087,0.008,19386.0,9887.0,9499.0,17588.0,1798.0,23645.0,0.065,1537.0,North-Central
Benue South,Gwer West,44121.0,0.095,0.087,0.008,14469.0,7379.0,7090.0,13128.0,1341.0,17649.0,0.065,1147.0,North-Central
Benue Northeast,Katsina-Ala,81173.0,0.058,0.051,0.007,16317.0,8321.0,7996.0,14158.0,2159.0,32469.0,0.086,2792.0,North-Central
Benue Northwest,Konshisha,81518.0,0.039,0.039,0.0,10873.0,5545.0,5328.0,10873.0,0.0,32607.0,0.054,1761.0,North-Central
Benue Northwest,Kwande,89835.0,0.039,0.039,0.0,11982.0,6111.0,5871.0,1982.0,0.0,35934.0,0.054,1940.0,North-Central
Benue Northeast,Logo,61069.0,0.058,0.051,0.007,12276.0,6261.0,6015.0,10652.0,1624.0,24428.0,0.086,2101.0,North-Central
